Manufacturer,Model,Description,Barrel Compression Cutoff (psi),Date Added
Anarchy,22ALRSN213-2,Larsen 22 A Day,1050,10/6/2022
Anarchy,A202ABDM2-2,Blue Dream,1050,9/14/2020
Anarchy,A20AASM1-1,Autism,1050,11/5/2020
Anarchy,A20AATS2-1,All the Smoke,1050,11/5/2020
Anarchy,A20ADAY2-1,22 A Day,1050,11/5/2020
Anarchy,A20ADMN2-1,Demon,1050,11/5/2020
Anarchy,A20AMUW2-1,Maui-Wowie,1050,11/5/2020
Anarchy,A20APPX2,Pineapple X,900,9/14/2020
Anarchy,A20AREB2-2,Rebellion,1050,11/5/2020
Anarchy,A20ASDL2-1,Sour Diesel,900,11/5/2020
Anarchy,A20AUND1-1,United,1050,9/14/2020
Anarchy,A20AWC1A1,Awakening CE,1050,6/22/2020
Anarchy,A20BUD1A1,Budweiser (1oz),1050,6/22/2020
Anarchy,A20BUD2A1,Budweiser (.5oz),1050,6/22/2020
Anarchy,A20BUDL1A1,Bud Light (1oz),900,6/22/2020
Anarchy,A20BUDL2A1,Bud Light (.5oz),900,6/22/2020
Anarchy,A21AATSM12-2,Autism,900,9/15/2021
Anarchy,A21ABHL12-1,Busch,900,6/22/2021
Anarchy,A21ABLL13-1,Bud Lime,1050,6/22/2021
Anarchy,A21ADMSC13-2,Demon Supercharged,1050,6/22/2021
Anarchy,A21ADSC121-1,Diablo Supercharged,1050,6/22/2021
Anarchy,A21ADSCP13-2,Disciple,1050,6/22/2021
Anarchy,A21AHNET12-1,Hornet,900,11/5/2021
Anarchy,A21AHOPE13-1,Hope,1050,9/15/2021
Anarchy,A21AIRCN12-1,Insurrection,900,6/22/2021
Anarchy,A21AJSTC13-3,Justice,1000,11/5/2021
Anarchy,A21AJSTR13-2,Jester,1050,9/15/2021
Anarchy,A21ALOCO1-2,LoCo,1000,9/15/2021
Anarchy,A21ALOCO2-2,LoCo,1000,9/15/2021
Anarchy,A21AMUA13-2,Michelob,1050,6/22/2021
Anarchy,A21ANTD12-2,Naturday,900,6/22/2021
Anarchy,A21ANTSC13-2,Nitrous Superchargeed,1050,9/15/2021
Anarchy,A21AOKT13-2,Outkast,1050,6/22/2021
Anarchy,A21APRO12-1,98 Proof,900,6/22/2021
Anarchy,A21ARDTN13-1,Redemption,1050,9/15/2021
Anarchy,A21AREK121-1,Reawakening,1050,6/22/2021
Anarchy,A21ARESC13-1,Rebellion Supercharged,1050,6/22/2021
Anarchy,A21ARPT12-2,Rapture,1050,9/15/2021
Anarchy,A21ARTLR13-1,Rattler,1050,11/5/2021
Anarchy,A21ASKD12-1,Skud,900,6/22/2021
Anarchy,A21ASSF13-2,Anarchy Fight White,1050,9/15/2021
Anarchy,A21AWRH12-2,Wrath,900,6/22/2021
Anarchy,A22ABDSB212-2,Bud Select (BK),900,4/15/2022
Anarchy,A22ABDSW212-1,Bud Select (WT),900,4/15/2022
Anarchy,A22ACRSH213-2,Crusher,1050,4/26/2022
Anarchy,A22AGMDT213-2,Gimmedat,1050,4/15/2022
Anarchy,A22ALDSY112-1,Land Shark,1050,4/15/2022
Anarchy,A22ANTDR213-1,Natty Daddy,1050,4/15/2022
Anarchy,A22AOGKP212-2,OGKP,900,4/15/2022
Anarchy,A22ASKTB213-2,Shock Top (BK),1050,4/15/2022
Anarchy,A22ASKTO112-2,Shock Top (OR),1050,4/15/2022
Anarchy,A22ASKTW213-2,Shock Top (WT),1050,4/15/2022
Anarchy,A22ASTRS121-1,Streets,1050,4/15/2022
Anarchy,A22UNIMO121-2,Nimmo,1050,4/15/2022
Anarchy,AA19MCQA2,Leprechaun,1000,6/26/2019
Anarchy,A23AAKG213-1,Awakening OG,1050,6/3/2023
Anarchy,A23AAMA213-2,American,1050,1/2/2024
Anarchy,A23AJKL112-1,Jekyll,1050,6/3/2023
Anarchy,A23AJKR212-2,Joker,900,6/3/2023
Anarchy,A23AJSR213-2,Jester,1050,6/3/2023
Anarchy,A23AMWSN112-2,Nimmo MWS,1050,6/3/2023
Anarchy,A23AMWSP212-2,OGKP MWS,900,6/3/2023
Anarchy,A23AMWSS113-2,Streets MWS,1050,6/3/2023
Anarchy,A23AMWSZ213-2,Gimmedat MWS,1050,6/3/2023
Anarchy,A23ARPN212-1,Reign,900,6/3/2023
Anarchy,A23ATRB213-1,Tribe,1050,6/3/2023
Anarchy,A23A1776212-2,1776,900,1/2/2024
Anarchy,AFPUAXS2,Axis,1300,2/2/2024
Anarchy,AS171A-1,Awakening,1050,5/11/2017
Anarchy,AS172A-2,Rebellion,1050,5/11/2017
Anarchy,AS173A-3,No Name,1050,6/9/2017
Anarchy,AS174A-4,Ameri-Can,1050,6/9/2017
Anarchy,AS175A-5,Pink,1050,10/4/2017
Anarchy,AS18A1,Awakening,1050,4/10/2018
Anarchy,AS18A2,Nitrous,1050,4/10/2018
Anarchy,AS18A3,Demon,1050,8/13/2018
Anarchy,AS18A4,Diablo,1050,8/13/2018
Anarchy,AS18AFS,Firestick,1050,1/7/2019
Anarchy,AS18AGB,Geno Buck,1050,1/7/2019
Anarchy,AS18ASIS,Ambassador,1050,1/7/2019
Anarchy,AS1931LC,T3 LC,1000,3/18/2019
Anarchy,AS1932-LC,Gas LC,1000,3/18/2019
Anarchy,AS19ABS-2,Bad Santa,1050,12/13/2019
Anarchy,AS19AF,Flip,1000,6/26/2019
Anarchy,AS19AF2,Flip,1000,4/9/2019
Anarchy,AS19AF3,Flip,1000,6/26/2019
Anarchy,AS19ANN-1,Naughty or Nice,1050,12/13/2019
Anarchy,AS19BA1,Blessed,1000,6/26/2019
Anarchy,AS19BCA2,Flip,1000,6/26/2019
Anarchy,AS19KQS-2,King and Queen,1000,9/10/2019
Anarchy,AS19LSA,Scheels Lazer,1050,4/9/2019
Anarchy,AS19RPR-2,Reaper,1050,9/10/2019
Anarchy,AS19VIPA,Viper,1050,4/9/2019
Anarchy,AS19WARA2,Warlock,1050,6/26/2019
Anarchy,AS20AACE1-2,Alliance,1050,9/14/2020
Anarchy,AS20AAM-2,Amped,900,12/13/2019
Anarchy,AS20AAS-2,Ares,1050,12/13/2019
Anarchy,AS20AFB02,All the Smoke,1050,9/3/2020
Anarchy,AS20AHB-2,Humble,1050,3/5/2020
Anarchy,AS20ALU-2,Pitbull,900,3/5/2020
Anarchy,AS20AOHA2,Ohana,1050,9/3/2020
Anarchy,AS20AON-2,Odin,1050,3/5/2020
Anarchy,AS20AVCM1A,Diabolical,900,11/5/2020
Anarchy,AS20AVCM1B,Diabolical,900,11/5/2020
Anarchy,AS20AVCM2A,Diabolical,1050,11/5/2020
Anarchy,AS20AVCM2B,Diabolical,1050,11/5/2020
Anarchy,AS20AZS-2,Zeus,1000,12/13/2019
Anarchy,AS22LC-2,Code Red,1050,3/4/2022
Anarchy,ASP24TTA,22 A Day,1050,1/2/2024
Anarchy,ASP33A,33 Forever,1050,1/2/2024
Anarchy,ASPAA24A,Autism Awareness,1050,4/8/2024
Anarchy,ASPALEG25A,AMERICAN LEGION,1050,7/30/2025
Anarchy,ASPALL25A,ALL ALOHA,975,7/30/2025
Anarchy,ASPASN25A,ASANA (A3),1050,7/30/2025
Anarchy,ASPATM24A,Atomic,1050,1/2/2024
Anarchy,ASPAUR24A,Aurora,1050,4/8/2024
Anarchy,ASPAUT25A,AUTISM,975,2/18/2025
Anarchy,ASPAUT26A,AUTISM 2026,975,10/27/2025
Anarchy,ASPAUTB26A,AUTISM BALANCED,975,10/27/2025
Anarchy,ASPAWK24A,Awakening,1050,1/2/2024
Anarchy,ASPAWK25A,Awakening 2025,1050,7/30/2025
Anarchy,ASPBAZ26A,BAZOOKA,975,1/27/2026
Anarchy,ASPBCS24A,Bazooka,1050,10/22/2024
Anarchy,ASPBCS24AP,Bazooka Pink,1050,2/19/2025
Anarchy,ASPBKD24A,BAKED,1050,7/27/2024
Anarchy,ASPBLDAW25A,DAWE BLACKOUT,1050,7/30/2025
Anarchy,ASPBM24A,Blood Money,900,4/8/2024
Anarchy,ASPBOB25A,DOODLEBOB,975,2/18/2025
Anarchy,ASPBON25A,Battle of the nations (a3),1050,7/30/2025
Anarchy,ASPBUB25A,BUBBLE BUBBLE (BALANCED),975,2/18/2025
Anarchy,ASPCBCAP26A,EL CAPITAN,1050,1/27/2026
Anarchy,ASPCC25A,CANDY CORN,975,10/27/2025
Anarchy,ASPCD24A,Carpe Diem,1000,7/27/2024
Anarchy,ASPCER2SA,CERERBRUS,1050,2/18/2025
Anarchy,ASPCHOMP25A,CHOMPER,1050,7/30/2025
Anarchy,ASPCODB25A,CODE BLACK,1050,10/27/2025
Anarchy,ASPCODW2SA,CODE WHITE,1050,10/27/2025
Anarchy,ASPCOG25A,CODE GREEN,1050,10/27/2025
Anarchy,ASPCOR25A,CODE RED,1050,10/27/2025
Anarchy,ASPCUP25A,PB CUP,1050,10/27/2025
Anarchy,ASPDAW25A,Shock and Dawe,1050,3/24/2025
Anarchy,ASPDDCCA,Double Dip Cookies & Cream,900,4/8/2024
Anarchy,ASPDDCDA,Double Dip Cookie Dough,1050,1/2/2024
Anarchy,ASPDDMA,Double Dip Mint,900,1/2/2024
Anarchy,ASPDDMN24A,Demon,1050,10/22/2024
Anarchy,ASPDDSBA,Double Dip Strawberry,900,4/8/2024
Anarchy,ASPDMN24A,Demon,1050,1/2/2024
Anarchy,ASPDMN25A,Demon,975,4/4/2025
Anarchy,ASPDMNBL25A,Demon Black,975,4/4/2025
Anarchy,ASPDMNF24A,Demon Fire,1050,4/8/2024
Anarchy,ASPDMNLCB24A,Demon Black,1050,7/27/2024
Anarchy,ASPDMNPU24A,Demon,1050,7/27/2024
Anarchy,ASPECM24A,Every Child Matters,1050,9/6/2024
Anarchy,ASPECM25A-1,ECM 2025,975,4/4/2025
Anarchy,ASPEXC24A,Excecutioner,975,12/18/2024
Anarchy,ASPFEN25A,Fenrir,1050,4/16/2025
Anarchy,ASPFM25A,FLIP MONEY 2,1050,4/4/2025
Anarchy,ASPFMBAL25A,FLIP MONEY BALANCED,1050,4/4/2025
Anarchy,ASPFGHT24A,Crush Cancer,1050,10/22/2024
Anarchy,ASPFIRE25A,FIRESTICK,975,7/30/2025
Anarchy,ASPFRSH26A,FRESH,1050,1/27/2026
Anarchy,ASPGLD25A,CHILD CANCER,975,10/25/2025
Anarchy,ASPGOAT25A,GOAT,975,7/30/2025
Anarchy,ASPGOATB25A,GOAT BALANCED,1050,7/30/2025
Anarchy,ASPGOD26A,GOD MODE,1050,1/27/2026
Anarchy,ASPGOOS25A,GOOSETOWN (A3),1050,4/4/2025
Anarchy,ASPGROO25A,GROOVY,1050,2/18/2025
Anarchy,ASPGRP25A-1,Bazooka Grape,975,4/4/2025
Anarchy,ASPHAD25A,HADES,975,2/18/2025
Anarchy,ASPHAHA24A,Joker,1050,7/27/2024
Anarchy,ASPHAHA25A,Joker,1050,7/30/2025
Anarchy,ASPHEF25A,TOO HEFTY,1050,7/30/2025
Anarchy,ASPHUM26A,ALWAYS HUMBLE,975,1/27/2026
Anarchy,ASPJEST24A,Jester,1050,10/22/2024
Anarchy,ASPJOK25A,Joker,975,7/30/2025
Anarchy,ASPKEEP25A,Keep Going,975,4/4/2025
Anarchy,ASPKS25A,Killshot,1050,4/4/2025
Anarchy,ASPLUV26A,ALL LOVE,1050,1/27/2026
Anarchy,ASPMAN25A,Manic,1050,4/4/2025
Anarchy,ASPMCQ25A,MCQUADES 12”,1050,4/4/2025
Anarchy,ASPMCQ1PC25A,MCQUADES 1PC,1050,7/30/2025
Anarchy,ASPMEM25A,MEMENTO MORI,1050,7/30/2025
Anarchy,ASPMIN25A,MINOTAUR,1050,4/4/2025
Anarchy,ASPMM25A,MAGIC MIKE XXL,975,2/18/2025
Anarchy,ASPMOST24A,Most,1050,7/27/2024
Anarchy,ASPMOST25A,Most,1050,7/30/2025
Anarchy,ASPNEO25A,DOUBLE DIP NEON,975,2/18/2025
Anarchy,ASPNIC25A,SNICKERS,975,10/25/2025
Anarchy,ASPNUT25A,DOUBLE DIP PB,1050,4/4/2025
Anarchy,ASPOLE25A,OL'RELIABLE,975,2/18/2025
Anarchy,ASPPAC25A,RETRO MAN,975,4/4/2025
Anarchy,ASPPAS25A,PASIFIKA,975,7/30/2025
Anarchy,ASPPIT24A,Pitbull,900,10/22/2024
Anarchy,ASPPOS25A,POSEIDON,1050,2/18/2025
Anarchy,ASPPX24A,Pineapple Express,1050,10/22/2024
Anarchy,ASPQUA25A,"MCQUADES 13""",975,4/4/2025
Anarchy,ASPREAWA24A,Reawakening,1050,10/22/2024
Anarchy,ASPREB24A,Rebellion,1050,10/22/2024
Anarchy,ASPROSA25A,ROSA REAPER,975,10/27/2025
Anarchy,ASPRTS25A,RELENTLESS,975,10/27/2025
